id,text,label
0,[CLS] Conflicting loads were stalled while pending <e1>stores</e1> were draining into <e2>memory</e2> [SEP],9
1,"[CLS] The <e1>battle</e1> caused a <e2>panic</e2> on the frontier, and settlers in the surrounding counties fled [SEP]",8
2,[CLS] The famous <e1>poet</e1> moved into a medical <e2>center</e2> [SEP],9
3,"[CLS] I've got the <e1>world</e1> in a <e2>jug</e2>, the stopper's in my hand [SEP]",11
4,"[CLS] As a general rule, <e1>chapters</e1> later in the <e2>book</e2> are designed to be studied after earlier ones [SEP]",2
5,"[CLS] For decades, most of the nation's renewable <e1>power</e1> has come from <e2>dams</e2>, which supplied cheap electricity without requiring fossil fuels [SEP]",7
6,[CLS] <e1>Chimpanzees</e1> make <e2>tools</e2> and use them to acquire foods and for social displays [SEP],15
7,[CLS] The <e1>stapler</e1> comprises a stapling head (2) and an <e2>anvil</e2> (3) [SEP],1
8,"[CLS] The optical <e1>signal</e1> is generated by an externally modulated tunable <e2>laser</e2>, and introduced to the chip through a tapered fiber [SEP]",7
9,[CLS] The <e1>byelection</e1> was caused by the <e2>resignation</e2> of Boris Johnson following his election as mayor of London in May [SEP],7
10,[CLS] Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate <e1>structure</e1> caused by bond <e2>speculation</e2> [SEP],7
11,[CLS] Technological advances have brought the <e1>wars</e1> into the <e2>living rooms</e2> across the world [SEP],9
12,[CLS] The moving companies transport personal <e1>items</e1> to your new <e2>home</e2> [SEP],9
13,[CLS] This <e1>dishwasher</e1> has the tallest <e2>tub</e2> available* and allows you to wash more than ever before [SEP],1
14,[CLS] This week we donated handcrafted fabric <e1>works</e1> to the local <e2>church</e2> [SEP],9
15,[CLS] Dee's end caps make <e1>pier</e1> piling sidewall <e2>forms</e2> function more efficiently by locking the forms together so they stay in place [SEP],0
16,[CLS] He received reports from the residence hall presidents regarding <e1>evacuation</e1> after the fire <e2>drill</e2> [SEP],7
17,[CLS] The <e1>message</e1> was enclosed in a <e2>paper</e2> that was folded and sealed [SEP],11
18,"[CLS] He cleaned his <e1>piano</e1> <e2>keys</e2>, using the proposed tips, but also remembered: playing with clean hands can prevent future headache [SEP]",1
19,"[CLS] The ""Happy Hour"" <e1>gathering</e1> was the best part of the <e2>event</e2> [SEP]",2
20,"[CLS] The frog is the environmental <e1>indicator</e1> of the <e2>land</e2>, but University of Queensland researchers reckon when it comes to the sea, we should look to the turtle [SEP]",0
21,[CLS] Ballots were tallied by an independent third party and locked in a <e1>bag</e1> which was locked in a <e2>safe</e2> [SEP],9
22,[CLS] The Worcester Greenstar 30 CDi Conventional <e1>boiler</e1> works with a hot water storage <e2>cylinder</e2> to provide hot water [SEP],1
23,[CLS] The point of the <e1>article</e1> is that <e2>food</e2> forms an important part of CNY [SEP],13
24,"[CLS] The <e1>tsunamis</e1> triggered by the massive <e2>earthquakes</e2> plunged those provinces into crisis: the number of people dead and missing has reached to 245,782 people [SEP]",7
25,[CLS] The human body is the product of the earth with all <e1>elements</e1> in it originating from the <e2>earth</e2> [SEP],17
26,[CLS] It's basically a trashy pseudo-18th-century <e1>novel</e1> written by a American <e2>historian</e2> at Harvard [SEP],16
27,[CLS] We have to take into account the reality of the <e1>damage</e1> that has been caused by the <e2>deregulation</e2> of nutritional supplements [SEP],7
28,[CLS] The <e1>anthrax</e1> was in a <e2>suitcase</e2> that the Egyptian was supposed to deliver to someone in Canada [SEP],11
29,[CLS] The <e1>chair</e1> was in a <e2>crate</e2> and then completely wrapped in cellophane and then bubble wrap [SEP],11
30,"[CLS] Riviera holiday <e1>club</e1> consists of few <e2>hotels</e2> (look on the left part of the page) which are located on the beach, in a nice and quite park [SEP]",6
31,[CLS] The <e1>catastrophe</e1> is narrated through <e2>metaphor</e2> [SEP],0
32,[CLS] She placed the <e1>bread</e1> in a serving <e2>basket</e2> and passed it around the classroom [SEP],9
33,"[CLS] Lesser Black-backed Gulls were capable of producing, on average, almost three times the normal <e1>clutch</e1> of three <e2>eggs</e2> [SEP]",0
34,[CLS] The <e1>missile</e1> was placed inside a <e2>canister</e2> and loaded into a launch facility [SEP],9
35,"[CLS] A Channel 4 <e1>drama</e1> set in a psychiatric unit has been criticised by a TV <e2>watchdog</e2> for its ""offensive"" title and for reinforcing prejudice against people with mental health problems [SEP]",0
36,"[CLS] <e1>Estrogen dominance</e1> is one of the main causes of <e2>osteoporosis</e2>, cancer, ovarian cysts, fibroids and a host of other female problems in the U.S [SEP]",8
37,[CLS] Many simple DC power <e1>supplies</e1> regulate the voltage using a shunt <e2>regulator</e2> such as a zener diode [SEP],1
38,[CLS] He zeroed in on the metal button in the <e1>fly</e1> of my <e2>jeans</e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector [SEP],2
39,[CLS] The essential <e1>information</e1> is found in the second <e2>sentence</e2> [SEP],14
40,"[CLS] iTunes, however, is a different <e1>kettle</e1> of <e2>drums</e2> [SEP]",0
41,"[CLS] This is movingly symbolised in the film in the way that people's homes were bare, all their memories and <e1>pictures</e1> were in a <e2>box</e2> [SEP]",11
42,"[CLS] The young <e1>man</e1> watched the snow through the <e2>window</e2>, and he wanted to stay in that cafe forever [SEP]",3
43,"[CLS] At the same time in this very same region, lived a <e1>tribe</e1> of Muslim <e2>natives</e2> known as Almamy [SEP]",6
44,[CLS] I joined the <e1>group</e1> which took the <e2>bus</e2> to Jura House Gardens for the start of our walk [SEP],3
45,"[CLS] When the <e1>king</e1> had left the <e2>apartment</e2>, she withdrew her hand [SEP]",17
46,[CLS] It also offers a concise <e1>guide</e1> to the historical documentary <e2>resources</e2> [SEP],13
47,"[CLS] Wealth is nominally a <e1>superfluity</e1> of <e2>goods</e2> required for subsistence, but the character of these goods varies with the use of wealth [SEP]",0
48,"[CLS] His <e1>wife</e1> is a participant in the <e2>blogosphere</e2>, and he doesn't want to ruin the surprise for her [SEP]",0
49,[CLS] <e1>Mental disorders</e1> have often been featured in <e2>art</e2> and literature [SEP],14
50,[CLS] The <e1>scan</e1> started at the rest <e2>potential</e2> toward the positive direction [SEP],0
51,[CLS] The answers to <e1>questions</e1> raised about <e2>rules</e2> governing immigration were wheeled out one after another [SEP],13
52,[CLS] The parent <e1>parameter</e1> was passed on to the QObject <e2>constructor</e2> [SEP],9
53,[CLS] The <e1>tail</e1> is long and thin with a blue central tail <e2>feather</e2> [SEP],1
54,[CLS] The <e1>boat</e1> basically sails from the harbour to an area of a <e2>beach</e2> where they are supposed to transfer you to a smaller boat and go to the beach [SEP],9
55,[CLS] The <e1>early years</e1> of autism is the topic of <e2>discussion</e2> [SEP],14
56,"[CLS] When we arrived, a large <e1>basket</e1> of goodies was delivered from the <e2>village</e2> manager and our neighbours presented my wife with a rose to welcome us [SEP]",17
